reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
infinix-hot40ff,infinix-hot40ff-8go-8gb-black,Smartphone Infinix Hot 40FF 8 Go / 256 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72786-smartphone-infinix-hot-40ff-.html,infinix,hot 40ff,8go,8gb,black,256 g,tunisianet,INSTOCK,599.000,2024-06-13
infinix-hot40ff,infinix-hot40ff-8go-8gb-gold,Smartphone Infinix Hot 40FF 8 Go / 256 G / Gold,https://www.tunisianet.com.tn/accessoires-tablettes-smartphones/72787-smartphone-infinix-hot-40ff-.html,infinix,hot 40ff,8go,8gb,gold,256 g,tunisianet,INSTOCK,599.000,2024-06-13
infinix-hot40ff,infinix-hot40ff-8go-8gb-blue,Smartphone Infinix Hot 40FF 8 Go / 256 G / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/72788-smartphone-infinix-hot-40ff-.html,infinix,hot 40ff,8go,8gb,blue,256 g,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya14,samsung-galaxya14-4go-128gb-green,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62990-smartphone-samsung-galaxy-a14-4-go-128-go-vert.html,samsung,galaxy a14,4go,128gb,green,,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya14,samsung-galaxya14-6go-128gb-green,Smartphone Samsung Galaxy A14 / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62984-smartphone-samsung-galaxy-a14-6-go-128-go-vert.html,samsung,galaxy a14,6go,128gb,green,,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya154128g,samsung-galaxya154128g-yellow,SMARTPHONE SAMSUNG GALAXY A15 4/128G Jaune + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/72995-smartphone-samsung-galaxy-a15-4128g-jaune.html,samsung,galaxy a15 4 128g,,,yellow,adaptateur samsung 25w offert,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya154128g,samsung-galaxya154128g-white,SMARTPHONE SAMSUNG GALAXY A15 4/128G BLanc + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/72996-smartphone-samsung-galaxy-a15-4128g-blanc.html,samsung,galaxy a15 4 128g,,,white,adaptateur samsung 25w offert,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya154128g,samsung-galaxya154128g-black&blue,SMARTPHONE SAMSUNG GALAXY A15 4/128G BLEU NOIR + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/72992-smartphone-samsung-galaxy-a15-4128g-bleu-noir.html,samsung,galaxy a15 4 128g,,,black&blue,adaptateur samsung 25w offert,tunisianet,INSTOCK,599.000,2024-06-13
itel-s24,itel-s24-8go-256gb-black,Smartphone Itel S24 / 8 Go /256 GO / NOIR + ÉCOUTEURS ITEL T1 Neo OFFERTS,https://www.tunisianet.com.tn/smartphone-tunisie/75901-smartphone-itel-s24-8-go-256-go-noir.html,itel,s24,8go,256gb,black,ecouteurs itel t1 neo offerts,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya14,samsung-galaxya14-6go-128gb-black,Smartphone Samsung Galaxy A14 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62982-smartphone-samsung-galaxy-a14-6-go-128-go-noir.html,samsung,galaxy a14,6go,128gb,black,,tunisianet,INSTOCK,649.000,2024-06-13
