ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
xiaomi-redmi102022,xiaomi-redmi102022-4go-128gb,XIAOMI REDMI 10 2022 4+128G,https://www.ooredoo.tn/Personal/fr/accueil/879-1637-portable-xiaomi-redmi-10-4-128go.html#/5-couleur-gris,xiaomi,redmi 10 2022,4go,128gb,,,ooredooshop,INSTOCK,809.0,05/11/2023
samsung-a04e,samsung-a04e-3go-32gb,SAMSUNG A04E 3+32GO,https://www.ooredoo.tn/Personal/fr/accueil/1085-2352-portable-samsung-galaxy-a04e-332go.html#/56-couleur-vert,samsung,a04e,3go,32gb,,,ooredooshop,INSTOCK,379.0,05/11/2023
samsung-a04,samsung-a04-4go-64gb,SAMSUNG A04 (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1286-2334-portable-samsung-galaxy-a04-464go.html#/52-couleur-blanc,samsung,a04,4go,64gb,,,ooredooshop,INSTOCK,479.0,05/11/2023
xiaomi-redmi10a,xiaomi-redmi10a-3go-64gb,XIAOMI REDMI 10A 3+64G,https://www.ooredoo.tn/Personal/fr/accueil/947-1433-portable-portable-xiaomi-redmi-10a-364g-tunisie.html#/5-couleur-gris,xiaomi,redmi 10a,3go,64gb,,,ooredooshop,INSTOCK,509.0,05/11/2023
itel-p40,itel-p40-4go-64gb,ITEL P40 (4+64G),https://www.ooredoo.tn/Personal/fr/accueil/1633-2295-portable-itel-p40-464g.html#/14-couleur-bleu,itel,p40,4go,64gb,,,ooredooshop,INSTOCK,359.0,05/11/2023
oppo-a55,oppo-a55-4go-64gb,Oppo A55 (4/64Go),https://www.ooredoo.tn/Personal/fr/accueil/655-1064-portable-oppo-a55-464g.html#/73-couleur-noir,oppo,a55,4go,64gb,,,ooredooshop,INSTOCK,799.0,05/11/2023
oppo-a94,oppo-a94-8go-128gb,Oppo A94 (8/128),https://www.ooredoo.tn/Personal/fr/oppo/302-834-portable-oppo-a94-tunisie.html#/73-couleur-noir,oppo,a94,8go,128gb,,,ooredooshop,INSTOCK,1149.0,05/11/2023
oppo-a53,oppo-a53,Oppo A53,https://www.ooredoo.tn/Personal/fr/accueil/365-752-portable-oppo-a53.html#/73-couleur-noir,oppo,a53,,,,,ooredooshop,INSTOCK,699.0,05/11/2023
oppo-a16k,oppo-a16k-3go-32gb,OPPO A16K ( 3+32 ),https://www.ooredoo.tn/Personal/fr/accueil/731-1326-portable-oppo-a16k-332-.html#/73-couleur-noir,oppo,a16k,3go,32gb,,,ooredooshop,INSTOCK,499.0,05/11/2023
oppo-a16,oppo-a16-4go-64gb,OPPO A16 (4-64),https://www.ooredoo.tn/Personal/fr/accueil/1475-2132-portable-oppo-a16-4-64.html#/14-couleur-bleu,oppo,a16,4go,64gb,,,ooredooshop,INSTOCK,699.0,05/11/2023
vivo-y36,vivo-y36-8go-128gb,VIVO Y36 (8+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1406-2227-portable-vivo-y36-8128-go.html#/49-couleur-blanc_dore,vivo,y36,8go,128gb,,,ooredooshop,INSTOCK,749.0,05/11/2023
vivo-y27,vivo-y27-6go-128gb,VIVO Y27 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1415-2215-portable-vivo-y27-6128go.html#/73-couleur-noir,vivo,y27,6go,128gb,,,ooredooshop,INSTOCK,639.0,05/11/2023
tecno-pop7,tecno-pop7-2go-64gb,TECNO POP 7 (64+2GO),https://www.ooredoo.tn/Personal/fr/accueil/1493-2195-portable-tecno-pop-7-642go.html#/14-couleur-bleu,tecno,pop 7,2go,64gb,,,ooredooshop,INSTOCK,319.0,05/11/2023
tecno-sparkgo2023,tecno-sparkgo2023-4go-64gb,TECNO SPARK GO 2023 (64+4GO),https://www.ooredoo.tn/Personal/fr/accueil/1490-2186-portable-tecno-spark-go-2023-644go.html#/14-couleur-bleu,tecno,spark go 2023,4go,64gb,,,ooredooshop,INSTOCK,359.0,05/11/2023
