spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
vivo-y27,vivo-y27-6go-128gb-black,Smartphone Vivo Y27 6Go 128Go - Noir,https://spacenet.tn/smartphone-tunisie/59283-smartphone-vivo-y27-6go-128go-noir.html,vivo,y27,6go,128gb,black,,spacenet,RETIRED,599.0,13/01/2024
vivo-y27,vivo-y27-6go-128gb-blue,Smartphone Vivo Y27 6Go 128Go - Bleu,https://spacenet.tn/smartphone-tunisie/59280-smartphone-vivo-y27-6go-128go-bleu.html,vivo,y27,6go,128gb,blue,,spacenet,RETIRED,599.0,13/01/2024
xiaomi-redminote12,xiaomi-redminote12-6go-128gb-green,Smartphone Xiaomi Redmi Note 12 6Go 128Go Vert,https://spacenet.tn/smartphone-tunisie/56550-smartphone-xiaomi-redmi-note-12-6go-128go-vert.html,xiaomi,redmi note 12,6go,128gb,green,,spacenet,RETIRED,789.0,13/01/2024
xiaomi-redminote12,xiaomi-redminote12-8go-128gb-grey,Smartphone Xiaomi Redmi Note 12 8Go 128Go Gris,https://spacenet.tn/smartphone-tunisie/56876-smartphone-xiaomi-redmi-note-12-8go-128go-gris.html,xiaomi,redmi note 12,8go,128gb,grey,,spacenet,RETIRED,999.0,13/01/2024
xiaomi-redminote12pro,xiaomi-redminote12pro-8go-128gb-blue,Smartphone Xiaomi Redmi Note 12 Pro 8Go 128Go Bleu,https://spacenet.tn/smartphone-tunisie/56580-smartphone-xiaomi-redmi-note-12-pro-8go-128go-bleu.html,xiaomi,redmi note 12 pro,8go,128gb,blue,,spacenet,RETIRED,1099.0,13/01/2024
xiaomi-redminote12pro,xiaomi-redminote12pro-8go-256gb-black,Smartphone Xiaomi Redmi Note 12 Pro 8Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/56818-smartphone-xiaomi-redmi-note-12-pro-8go-256go-noir.html,xiaomi,redmi note 12 pro,8go,256gb,black,,spacenet,RETIRED,1299.0,13/01/2024
xiaomi-redminote12pro,xiaomi-redminote12pro-8go-256gb-blue,Smartphone Xiaomi Redmi Note 12 Pro 8Go 256Go Bleu,https://spacenet.tn/smartphone-tunisie/56880-smartphone-xiaomi-redmi-note-12-pro-8go-256go-bleu.html,xiaomi,redmi note 12 pro,8go,256gb,blue,,spacenet,RETIRED,1259.0,13/01/2024
xiaomi-redminote12pro5g,xiaomi-redminote12pro5g-8go-256gb-black,Smartphone Xiaomi Redmi Note 12 Pro+ 5G 8Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/56551-smartphone-xiaomi-redmi-note-12-pro-5g-8go-256go-noir.html,xiaomi,redmi note 12 pro 5g,8go,256gb,black,,spacenet,RETIRED,200.0,13/01/2024
iku-a10s,iku-a10s-4go-32gb-red,Smartphone Iku A10S 4Go 32Go Rouge,https://spacenet.tn/smartphone-tunisie/65906-smartphone-iku-a10s-4go-32go-rouge.html,iku,a10s,4go,32gb,red,,spacenet,ARRIVING,329.0,13/01/2024
iku-a10s,iku-a10s-4go-32gb-white,Smartphone Iku A10S 4Go 32Go Blanc,https://spacenet.tn/smartphone-tunisie/65905-smartphone-iku-a10s-4go-32go-blanc.html,iku,a10s,4go,32gb,white,,spacenet,ARRIVING,329.0,13/01/2024
